157.journal_title,CirculationJ ournal,Circulation Journal
146.journal_issn,0035-9157 (Print) 0035-9157,NULL
881.journal_title,Nepal Medical College jourpnal : NMCJ,Nepal Medical College journal : NMCJ
145.journal_issn,0035-9157 (Print) 0035-9157,1540-8167
932.journal_issn,1527-775j5,1527-7755
223.jounral_abbreviation,nNULL,NULL
227.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Endocrinology
487.journal_issn,1873-o1465,1873-1465
145.jounral_abbreviation,Proceedings of the Royal Society of Medicine,J. Cardiovasc. Electrophysiol.
49.journal_issn,155-2101,1555-2101
954.journal_issn,1467-5497,1476-5497
551.journal_issn,15328511,1532-8511
889.journal_title,PLoS aOne,PLoS One
773.journal_title,Journal of the National Cancemr Institute,Journal of the National Cancer Institute
147.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
159.journal_title,Paliativn_ Schanzova osteotomie p_i nereponibiln_ luxaci kyeln_ho kloubu u pacient s d_tskou mozkovou obrnouv adolescentn_m v_u,Paliativn_ Schanzova osteotomie p_i nereponibiln_ luxaci kyeln_ho kloubu u pacient s d_tskou mozkovou obrnou v adolescentn_m v_u
230.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
980.journal_title,Endocrionlogy,Endocrinology
239.journal_title,BMJ Opne,BMJ Open
256.jounral_abbreviation,Cardiol Youvng,Cardiol Young
283.jounral_abbreviation,J. Am. Vet. Med. Assovc.,J. Am. Vet. Med. Assoc.
476.jounral_abbreviation,Phyps Med Biol,Phys Med Biol
226.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
178.journal_title,Obepsity (Silver Spring, Md.),Obesity (Silver Spring, Md.)
596.journal_title,J Ortho pSci,J Orthop Sci
146.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
770.journal_title,PLo SOne,PLoS One
441.journal_title,J. Am. Geriatr. Socx.,J. Am. Geriatr. Soc.
493.journal_title,Knee surgery, sports traumatology, arthrocsopy : official journal of the ESSKA,Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA
810.journal_issn,004-8610,0049-8610
306.journal_issn,0030-1786 (Print) 0030-1876,0030-1876 (Print) 0030-1876
712.journal_issn,vNULL,NULL
665.journal_title,Academic radioogy,Academic radiology
228.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
149.journal_issn,0035-9157 (Print) 0035-9157,0017-5749
880.jounral_abbreviation,NLL,NULL
177.journal_issn,007-8923 (Print) 0077-8923,0077-8923 (Print) 0077-8923
170.jounral_abbreviation,NLUL,NULL
144.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Journal of hand surgery (Edinburgh, Scotland)
816.journal_title,eNULL,NULL
955.jounral_abbreviation,NtULL,NULL
807.jounral_abbreviation,Angew .Chem. Int. Ed. Engl.,Angew. Chem. Int. Ed. Engl.
736.journal_title,iBrth,Birth
229.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
624.journal_title,Journal of Psychiatric Retsearch,Journal of Psychiatric Research
801.journal_title,Journl of the National Cancer Institute,Journal of the National Cancer Institute
640.jounral_abbreviation,NUL,NULL
417.jounral_abbreviation,Ann Ohncol,Ann Oncol
148.journal_issn,0035-9157 (Print) 0035-9157,1381-4788
600.journal_title,Respirtory medicine,Respiratory medicine
664.journal_title,PLS One,PLoS One
792.journal_issn,1558-j2035,1558-2035
143.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
280.journal_issn,978-1-4503-3j459-4,978-1-4503-3459-4
515.journal_issn,-4400,-14400
133.journal_issn,UNLL,NULL
147.journal_issn,0035-9157 (Print) 0035-9157,NULL
